video_id,transcript,status
1Fk91E3Upl8,,failed
JYNyQcblzgI,,failed
lX0_X1kJfTo,,failed
xAcvIhbItb4,"Safety first for this driver, strapping on his seatbelt as he settles into the driver's seat. One big problem. He's just seven years old. Dashboard cameras captured Daniel Wittenbach taking his family's SUV for a morning joy ride. He almost hit another work vehicle. It was a boy, a child. He's driving the wrong way into oncoming traffic in Middletown, Ohio. Cars swerve to avoid young Daniel, who's a decade shy of getting his license. You can hear him playing music along the way. But then the inevitable happens. He hits a median and slows down. Another driver tries to help, wrapping a shirt around his hands, trying to smash in the window. Only then does Daniel think he's going to get into trouble. Stop! (thump on window) It's my mom's car! He didn't understand that people were trying to help him and trying to stop the vehicle. Another driver tries to body block the SUV but it still hits this Jeep head on. Ow! You're okay, you're okay. Daniel wasn't hurt and remains blissfully unaware of the danger that he was in. So where was he going? His only response is, ""Well I just wanted a Slushy from Speedway."" Turns out his parents keep the keys stored high on a wall, but Daniel's a climber. I'm just thankful that he's alive. (outro music)",ok
Mr-tMi97aeU,"building it with a view. Look at this view. Every day they work up and down here, up, down, up, down. Full body pain. But you know what? These guys, they have bodies of steel. Isn't that right, guys? >> Yeah. Bodies of",ok
lROEuoNkcY0,"[Narrator] Today, Peppa and her family
are at a very large train station. It has shops, restaurants,
and lots of escalators! We’re going on a train ride. Choo-choo! Uh-oh. We haven’t got
long until the train leaves. We’ve still got to get snacks, buy books for the train,
go to the toilet… And please can we get some
squidgy widgy neck pillows? I don’t think we’ll have time. Almost time for our train.
If we can’t find it, don’t give up!! We can do it, Daddy! Don’t give up! [chuckles] You’re right, Peppa.
Let’s give it a go. First, we need to find a snack shop. Ooh, there’s one! [gasps] Teddy! Don't worry, we're coming! Down we go! -Huh?
-[Narrator] Oh. Teddy is gone. Anyone lose a teddy? -[sighs] And up we go!
-[giggles] [huffing] Thanks, Police Officer Panda! All part of the-- Eh? -Okay, snacks bought. What’s next?
-Books! [Narrator] Mummy loves reading on a train. Look! There’s a book shop. [sighs] [huffs] [huffs] [giggles] The floor's moving! It’s a travelator! [Narrator] The travelator makes
Peppa and Mummy Pig walk very fast. Come on, slow coaches! [sighs] [moans] -Need a lift?
-Yes, please! To the book shop! Charge! [both] Here we are! [Narrator] Everyone is at the bookshop. But oh dear, Miss Rabbit has taken
Daddy and George to a different book shop. Where have those two got to? [oinks] They’re over there! [both] Stay there! We’ll come to you! [moans] Yurgh! Smelly nappy alert! [laughs] Well, at least we can cross
toilets off the list. [Narrator] George needs
the toilet as well. Phew. That’s much better. [giggles] And much less smelly!
This way, Mummy! This way, George! [Narrator] It can be quite hard
to find someone in a train station. [both] Hooray! [both] We found you! [Narrator] But Peppa and her family
have found each other again. They didn’t give up,
just like Mr Bull said! This way! Wait no, back that way! And just enough time to buy
squidgy widgy neck pillows! Four please! Yippee! [oinks] Right, train time everyone! [oinks] [Narrator] Peppa loves the train station. Where is our train? [Narrator] Mr. Bull
[clears throat] does not. And last stop, the exit. Thanks for riding
the Tiny Land Tiny Train! Today, Peppa and her family
have spent the day in Tiny Land. [chuckles] Good job,
train conductor Peppa! [giggles] And Teddy! I’ll be out of a job soon!
One of them, anyway. Look at George with his dinosaur! Dine-saur! [giggles] [Narrator] Oh dear. George doesn’t
have his dinosaur toy with him any more. Oh no! He must have fallen
somewhere in Tiny Land! Don’t worry, George.
We’ll go back and find him together! It’s a Tiny Land Rescue Mission! Please can you take us back on the train,
Miss Rabbit? Abso-tootly! All back aboard! We can use our photos
to remember where we’ve been! Hooray! Maybe Dinosaur is at the,
um, very long wall! Ey? [chuckles] She means
the Great Wall of China. Right you are! [Peppa and George] Dine-saur? [Narrator] Everyone is looking
for George’s Dine-saur. Aha! Here he is. [both] Oh. [Narrator] But Dine-saur isn’t here. We’ll find him, George! Let’s try the Tiny Farm next! Roger that! All aboard the Tractor Train!
Next stop, Tiny Farm! [all] Hooray! [Narrator] The tractor train
has arrived at the Tiny Farm! Dine-saur? Dine-saur? Hm? [Narrator] There’s something
moving in the straw! Could it be… Ah. No. It’s just a tiny chicken. -[giggles]
-[sighs] Don’t worry George, we won’t give up!
Where’s next Mummy? Ooh! Let’s see, Construction Canyon! [Narrator] Peppa and her family
keep searching for Dine-saur. They look in Construction Canyon. [Peppa] Diggers! Dine-saur. [Narrator] And New Potato City. But there’s no sign of Dine-saur anywhere. Dine-saur! -[George whimpers]
-It's okay, George. We won't give up. Wait! There's one place we haven't been. It was in that first picture. The Land of Dinosaurs! -Of course! [giggles]
-A dinosaur toy in Dinosaur Land? Feels like we should've thought of that. -All aboard the Trainosaurus Rex!
-[all cheering] So it’s back through Tiny Land,
all the way to the Land of Dinosaurs! Dine-saur! [all cheering] [Narrator] George loves Tiny Land,
but he loves Dine-saur most of all. [laughs] [Miss Rabbit] Welcome
to Dinosaur Safari Park! [Narrator] Today, Peppa has come
to a special Safari Park for Dinosaurs! -It's a--
-Dine-saw-fari! [laughs] Dine-saw! Dine-saw! [laughs] [giggles] Less bouncy for Evie,
please, George! -[cries]
-Oop. Dine-saw. [giggles] George is excited
for Evie to meet a real dinosaur. Well, we better look
carefully so we don't miss any. -[Narrator] Ooh, what was that?
-Anybody else see that? -Sorry.
-Hmm. -There it is again.
-There they are! [Peppa and George cheer] Ooh.
These tiny dinos weighed four kilograms! That's almost the same as Evie
when she was born! -[babbles]
-Let's call them Evie-saurs! [all giggling] Oh dear. No one can see any dinosaurs
in this part of the safari park. Where are they? I can only see trees. [all] Ah! It's a Diplodocus! -It's so close!
-And so realistic! [all] Ew! [cheers] [Narrator] Oh dear.
George is getting a bit too excited again! [giggles] Alright, George.
Gentle for Evie, remember? Oop. [giggles] Their long necks help them eat
leaves from high up in the trees. And makes them good at making us jump!
[giggles] Bye-bye! [Narrator] This part of the safari park
has a [gasps] big volcano! The volcano's gonna blow! It's just pretend, Daddy Pig. Oh. [giggles]
But wait, is it getting louder? [all] Wow! Oh! It's not the volcano.
It's a herd of Triceratops! Their horns keep them safe from T-Rex's! -Look! T-Rex is just ahead, George!
-[gasps] [sighs] No. But T-Rex's are your favourite, George. [babbles] Ah. T-Rex's are big and loud, and I think George is worried
it'll scare Evie. That's very kind, George, but don't worry.
We came prepared. And just in time. Look, George! A T-Rex! [Narrator] Now that
Evie has ear defenders on, everyone can enjoy the big, loud T-Rex. [roars] [giggles] Dine-saw. Dine-saw! -[babbles]
-I think T-Rex's are Evie's favourite too! -[Narrator] George loves dinosaurs.
-[all giggling] -[Narrator] And so does Evie!
-[all roaring]",ok
